...,Ingredient A,Ingredient B,Score
1,Aglio,Aglio,0
2,Aglio,Basilico,1
3,Aglio,Carne,2
4,Aglio,Carota,1
5,Aglio,Cipolla,2
6,Aglio,Cozze,3
7,Aglio,Funghi,1
8,Aglio,Gamberi,-1
9,Aglio,Gorgonzola,-2
10,Aglio,Limone,1
11,Aglio,Melanzane,2
12,Aglio,Noci,1
13,Aglio,Olive,2
14,Aglio,Parmigiano reggiano,-2
15,Aglio,Patate,2
16,Aglio,Pecorino romano,-2
17,Aglio,Pepe,2
18,Aglio,Peperoncino,2
19,Aglio,Pinoli,2
20,Aglio,Pomodoro,3
21,Aglio,Prezzemolo,2
22,Aglio,Sarde,2
23,Aglio,Uova,2
24,Aglio,Vongole,2
25,Aglio,Zucchine,2
26,Basilico,Basilico,0
27,Basilico,Carne,2
28,Basilico,Carota,1
29,Basilico,Cipolla,-1
30,Basilico,Cozze,-1
31,Basilico,Funghi,1
32,Basilico,Gamberi,1
33,Basilico,Gorgonzola,1
34,Basilico,Limone,2
35,Basilico,Melanzane,2
36,Basilico,Noci,2
37,Basilico,Olive,2
38,Basilico,Parmigiano reggiano,2
39,Basilico,Patate,2
40,Basilico,Pecorino romano,2
41,Basilico,Pepe,2
42,Basilico,Peperoncino,1
43,Basilico,Pinoli,2
44,Basilico,Pomodoro,3
45,Basilico,Prezzemolo,2
46,Basilico,Sarde,2
47,Basilico,Uova,2
48,Basilico,Vongole,2
49,Basilico,Zucchine,2
50,Carne,Carne,0
51,Carne,Carota,2
52,Carne,Cipolla,2
53,Carne,Cozze,-6
54,Carne,Funghi,2
55,Carne,Gamberi,-6
56,Carne,Gorgonzola,-1
57,Carne,Limone,2
58,Carne,Melanzane,2
59,Carne,Noci,2
60,Carne,Olive,2
61,Carne,Parmigiano reggiano,1
62,Carne,Patate,2
63,Carne,Pecorino romano,1
64,Carne,Pepe,3
65,Carne,Peperoncino,2
66,Carne,Pinoli,1
67,Carne,Pomodoro,1
68,Carne,Prezzemolo,2
69,Carne,Sarde,-5
70,Carne,Uova,1
71,Carne,Vongole,-6
72,Carne,Zucchine,2
73,Carota,Carota,0
74,Carota,Cipolla,2
75,Carota,Cozze,2
